Date,Close,High,Low,Open,Volume,SMA_20,SMA_50,EMA_20,BB_Upper,BB_Lower,RSI,MACD,MACD_Signal,MACD_Hist
2024-01-01,1279.69287109375,1287.8940202608817,1271.2447008145452,1274.9006856426909,4030540,,,1279.69287109375,,,,0.0,0.0,0.0
2024-01-02,1290.2900390625,1291.920402508132,1271.1706293129728,1277.099135940161,7448800,,,1280.702125186012,,,100.0,0.8453581285612017,0.16907162571224035,0.6762865028489614
2024-01-03,1276.25927734375,1301.3071935056118,1273.2455715878027,1289.450180352941,9037536,,,1280.2789968200823,,,90.75670528895951,0.37877899669524595,0.21101309990884148,0.16776589678640447
2024-01-04,1282.854736328125,1289.3761903993159,1274.1843914947026,1278.581319191514,9612778,,,1280.524305344658,,,91.16988739068287,0.5350424562752778,0.2758189711821288,0.259223485093149
2024-01-05,1288.3138427734375,1294.3165279752034,1283.521657474919,1285.9424160498672,8086406,,,1281.2661660521608,,,91.5082430745234,1.0868580176090745,0.438026780467518,0.6488312371415565
2024-01-08,1278.26025390625,1300.2944657165137,1269.1698042070248,1289.4502625359673,7734652,,,1280.9798887049312,,,85.04514145992412,0.704810607395757,0.4913835458531658,0.21342706154259117
2024-01-09,1274.8759765625,1287.8693113555237,1273.245613077726,1284.5098000629723,5403074,,,1280.3985637389853,,,82.9219946953489,0.12748284140366195,0.41860340496326504,-0.2911205635596031
2024-01-10,1309.261474609375,1313.6584025883456,1272.183577934786,1273.1469362430112,11102740,,,1283.1474123933083,,,86.58617741516926,2.4167104149053102,0.8182248069516741,1.598485607953636
2024-01-11,1343.696044921875,1346.265040325212,1312.6701695941608,1313.6582540274271,23725852,,,1288.9139488246003,,,89.10676071289706,6.929641212065917,2.0405080879745228,4.889133124091394
2024-01-12,1354.39208984375,1356.961085397271,1329.7147038034357,1343.6961234746648,15012164,,,1295.1499622549954,,,89.75099444152788,11.239688682673886,3.880344206914396,7.359344475759491
2024-01-15,1377.5130615234375,1379.810309335981,1349.7231898438201,1358.6159487812977,8610594,,,1302.994066947228,,,90.99126836122052,16.33282687845076,6.370840741221669,9.96198613722909
2024-01-16,1358.24560546875,1379.6623844587446,1354.1697570573224,1373.4126778584214,9069024,,,1308.256118234992,,,82.07746968648739,18.600043194102,8.816681231797736,9.783361962304264
2024-01-17,1345.35107421875,1369.7568331827044,1338.8791932605309,1343.30084717423,12197382,,,1311.788971185826,,,76.66464342586416,19.135762393611003,10.88049746416039,8.255264929450613
2024-01-18,1351.6500244140625,1354.663730119792,1335.1490629645289,1335.2972997496222,10279438,,,1315.5852619694676,,,77.44708185160343,19.839894404321285,12.672376852192569,7.167517552128716
2024-01-19,1351.156005859375,1359.6041759840746,1342.8067406703178,1359.6041759840746,10422704,,,1318.9729518637446,,,77.22836997484532,20.126060232802047,14.163113528314465,5.962946704487582
2024-01-23,1312.7442626953125,1355.4048574857818,1306.791150318716,1355.4048574857818,20055420,,,1318.3797433715129,,,62.458840349278574,17.056722777837194,14.741835378219012,2.3148873996181827
2024-01-24,1327.8619384765625,1333.4199132911328,1308.1497027138623,1319.314984194113,21919128,,,1319.2828095719938,,,65.27368355427822,15.663561041792263,14.926180510933662,0.7373805308586014
2024-01-25,1336.952392578125,1347.895500834099,1319.2903820615336,1326.9480369708251,11808872,,,1320.9656270011492,,,66.88173287136934,15.118714868755887,14.964687382498107,0.15402748625777996
2024-01-29,1430.795654296875,1435.1925816017736,1343.9677382154596,1348.241154971167,23893438,,,1331.425629600742,,,78.13694512596015,22.005620199425493,16.372873945883583,5.63274625354191
2024-01-30,1390.8524169921875,1442.5786154279806,1387.6905949006082,1442.5538891928095,14093978,1328.0509521484375,,1337.0853236380226,1415.3847940558503,1240.7171102410248,67.60539521377687,23.964212337901472,17.89114162428716,6.07307071361431
2024-01-31,1409.6259765625,1417.1601204834947,1385.788439238697,1387.2705659116798,15130226,1334.547607421875,,1343.9939572498774,1425.9703383693438,1243.1248764744062,69.67427431497892,26.723231302853492,19.65755956000043,7.065671742853063
2024-02-01,1409.650634765625,1426.1515960154993,1401.1531330404457,1417.9011153905622,13349362,1340.5156372070312,,1350.2469741561392,1435.295642321117,1245.7356320929455,69.67701357893037,28.582284635724818,21.442504575145307,7.139780060579511
2024-02-02,1440.3306884765625,1457.3258137867138,1416.0980132616144,1416.0980132616144,19652588,1348.7192077636719,,1358.8263755199891,1448.3592206355659,1249.079194891778,72.95084125557395,32.16049555282734,23.586102770681713,8.57439278214563
2024-02-05,1421.8782958984375,1452.978230847658,1414.4676622830975,1443.344407147716,8814432,1355.6703857421876,,1364.8313203179366,1455.3608264576708,1255.9799450267044,68.1828007647006,33.12545004799654,25.493972226144678,7.63147782185186
2024-02-06,1410.7869873046875,1424.6695010773788,1402.9069175392074,1424.6695010773788,9047984,1361.79404296875,,1369.208050507151,1459.0807339915143,1264.5073519459859,65.41520214921542,32.61919376695528,26.9190165343068,5.700177232648478
2024-02-07,1424.966064453125,1432.2284612961826,1412.2197504708995,1418.8152626559165,9296568,1369.1293334960938,,1374.518337549625,1461.915456357251,1276.3432106349364,67.24560909688554,32.98192000000972,28.131597227447383,4.85032277256234
2024-02-08,1432.845947265625,1442.0845126481563,1410.515263064875,1432.7224367107362,14694634,1377.02783203125,,1380.0733479987678,1462.6492666618185,1291.4063974006815,68.25125581856696,33.518839523770566,29.20904568671202,4.309793837058546
2024-02-09,1443.344482421875,1454.4357071881138,1433.6612057465102,1436.6749118202338,12556798,1383.731982421875,,1386.099170324778,1467.9986007679383,1299.4653640758117,69.59085169647383,34.39501187509245,30.24623892438811,4.148772950704341
2024-02-12,1435.0443115234375,1443.591265452315,1425.1634678173984,1443.344244359664,6674430,1388.2993957519532,,1390.760612343698,1473.3281248056371,1303.2706666982692,67.17753495553126,34.02738385217776,31.00246790994604,3.024915942231722
2024-02-13,1447.642578125,1461.376976810473,1436.6748642883217,1438.1569910396506,7715594,1392.9619201660157,,1396.1779424181077,1480.3558593190814,1305.56798101295,68.9382786304892,34.356569673071135,31.673288262571063,2.683281410500072
2024-02-14,1463.7236328125,1465.9715491065435,1440.1331160740654,1440.1331160740654,7117888,1397.2724487304688,,1402.610865312812,1489.810938550688,1304.7339589102496,71.07151532403209,35.50577010983284,32.43978463202342,3.06598547780942
2024-02-15,1453.076904296875,1467.0335965408115,1449.0505085860837,1465.674980481667,10006782,1402.014013671875,,1407.4171547398655,1495.8418644027681,1308.186162940982,67.75384078840727,35.152204985139406,32.98226870264662,2.1699362824927846
2024-02-16,1443.17138671875,1459.4007219371786,1441.170612214809,1458.8819534815811,9767498,1406.905029296875,,1410.8223196902354,1498.4671582671685,1315.3429003265815,64.726468754373,33.6844166050289,33.12269828312308,0.5617183219058219
2024-02-19,1456.4364013671875,1461.8708655513933,1436.2053974591388,1444.6288410678121,6729828,1412.1443481445312,,1415.1665179451832,1502.3761472508097,1321.9125490382528,66.86184979235504,33.20874976515938,33.13990857953034,0.06884118562904007
2024-02-20,1453.496826171875,1457.9184795791293,1444.3817720340203,1457.4491636292228,7117496,1417.2613891601563,,1418.8170234905824,1504.4879071300693,1330.0348711902434,65.90963078761939,32.22313299737152,32.95655346309858,-0.7334204657270575
